id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
1;Thank you... Vegans!;0;0;0;0
2;This is so cool! now i know the environment they are living in;0;0;0;0
3;Good stuff keep it up unicef i like that orangise they are doing good job for people and women;0;1;0;0
4;good staff UNICEF;0;0;0;0
5;Good stuff, UNICEF. Beautiful experience you have crafted here. 360° videos would be excellent ways to immerse common-folk like me in environments where UNICEF works but the average person never goes.;0;0;0;0
6;Hello, we are Syrian refugees, and I am a twelfth grade student, meaning the baccalaureate, and my brother suffers from a head disease and his medicine is very expensive, and my little brother suffers from ulceration of the intestine and we want to travel in order to live a decent life.;0;0;0;0
7;Thanks a lot A very nice topic and  video;0;0;0;0
8;Please add real Closed Captions (not auto-generated ones) to make this accessible!;0;0;0;0
9;The UN: makes this video. Also the UN: ,puts Saudi Arabia on their human rights council;0;0;0;0
10;helloooo;0;0;0;0
11;Hi! Can anyone tell me who made this animation? If it was an individual or an agency? I love the animation style and would love to learn how to do this style!;0;0;0;0
12;oh my god this is just like in love live and persona 5 xD;0;0;0;0
13;My mother was locked up in a Dementia unit with the help of The Oamaru Police in New Zealand so her daughter can get her murderer husband out of a Texas Jail early. SHAME on The Oamaru Police in New Zealand.;0;0;0;0
14;9,00E+02;0;0;0;0
15;So much help during this pandamic thanks;0;0;0;0
16;how come sometimes boys kiss women they dont know and its “assault” but when women do it its not. makes no sense;0;0;1;1
17;Very informational!;0;0;0;0
18;All Women should be respected despite of their  nationality and status in life.;1;1;0;0
19;Renz A.Balantac;0;0;0;0
20;I love my teacher and my online class so i want to share my results;0;0;0;0
21;Yop outtive it sphe class;0;0;0;0
22;Let Women first know their Statutory  and Constitutional  right which will definitely  empower them in adversary. We salute dedicated women;1;1;0;0
23;Salve prof;0;0;0;0
24;watch for online class. never give up girls !;1;0;0;0
