id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
1;At age 60, I remember this all so well. And, I remember that most women were homemakers. Shopping, kids, cleaning, yard/gardening, cooking, entertaining the husbandâ€™s boss and clientele, helping cultivate community outreach, volunteered, attended church, members of PTA....on an on.  They were expected to act and present themselves in a certain way. Their husbands climbed the corporate ladder, many families â€œtransferredâ€ multiple times. Women acted as CEO of the household, budgeting and coordinating family events and Holidays. Go a step further, they are chauffeuring kids around to cheerleading, gymnastics, soccer, and making sure these kids were prepared for school, safe at the bus stop and did homework with the kids. Fast forward a few years.....do you know how many were taken care of OR taken advantage of? They were systematically divorced and traded in by their husbands for a younger woman. So how is this supposed to work, you are dumped, have no social security of your own, you were never compensated or really appreciated for your contribution. If you are one of the few that gets a reasonably fair deal, and some alimony for a limited time then you still have to navigate trying to keep your head above water, prices increase, medical care increases and women end up trying to work jobs at very low pay grades just to survive (not to mention dealing with corporate ageism). Women need to make the best most informed decisions, for every decision there is a positive or negative outcome. The world has changed greatly, but women are subject to the same BS we were in the 70â€™s. Women who want to be at home Momâ€™s should be celebrated, itâ€™s hard work. Always have a backup plan, access to your own money and keep up your skills and continuing education. There are programs to help women achieve, grants and such. Do what you can to protect your life, your rights and your freedom to VOTE!;0;1;0;0
2;I love how this show openly portrayed the complexities with Feminism and women's rights. People tend to group feminism into these reductive stereotypes, but the movement has a complicated history surrounding civil rights, abortion, and gay rights as not every person involved in the movement agreed on these positions.;1;0;0;0
3;I canâ€™t believe ERA still hasnâ€™t been passed by all of the states. What are people so afraid of?  Anyhoo...Just watched the series and itâ€™s great! Must watch!;1;0;0;0
4;I sometimes feel that people are so blind in one perspective that they comment as if the show was defending her or attacking ... ridiculous, from what I watched I believe they found a good tone.  It seems that these people didn't even watched.;1;0;0;0
5;"This comment section is a war zone.  I find that those whom feel the need to insult the ""other sides"" perspective beyond rational consideration of what's being said/debated are insecure with assessing their own beliefs in a critical manner, which is essential  when it comes to having a heart to heart mind to mind discussion on the problems at hand.";0;0;0;0
6;It's 2020 and we've still never had a female president or vice-president.  You've got a long way to go, baby....;0;1;0;0
7;I learning a lot from the serie.;0;0;0;0
8;Any time progress or equality is a with in reach conservatives step in to keep us all in the dark ages.;0;0;0;0
9;Hearing Rose's natural accent still surprises me;0;0;0;0
10;Wait, the ERA didn't pass?!!! WTF!!! I'm not kidding, I'm not american, I started to watch the show and I can't believe it. It's 2020 guys! what are you waiting for?  (btw spoilers);0;0;0;0
11;The way you want to live your life is your business. There are women that want to 'work' in their home as homemakers, and there are women who prefer to work outside the home. Neither is wrong or right. When, we, society, stop imposing our beliefs on other people, there will be no need for this type of dialogue. Bipartisanship will be obsolete. It's coming, and I hope I'm alive to see it. This IS the age of Aquarius....;0;1;0;0
12;I would love to see this topic be the next addressed in this country â™¡;0;0;0;0
13;Keep fighting!;1;0;0;0
14;OMG! Some things haven't changed since the 70s.;0;0;0;0
15;Mrs. America is an excellent series â€” I Thoroughly enjoyed it.;1;0;0;0
16;Honestly leaving all the politics aside. What a bunch of badass women.;0;0;1;0
17;Excellent series.  I somehow missed it when it first came out a year ago, but just discovered it and binged it.  Watching this, you see how little has changed not just for women, but in politics.;1;0;0;0
18;Composite characters are always iffy;0;0;0;0
19;I'm in the UK, and I absolutely loved this series. Really cleverly written, the acting is awesome too. It was interesting from a historical point of view too, just knowing what those women did, and ultimately how similar they actually were. I also had no idea that this was still a thing...hopefully things like this series light a fire.;1;1;0;0
20;Great;0;0;0;0
21;Notice how all these lefty women couldnâ€™t take on the elegant lady, Phyllis Schlafly ðŸŒº Thank God for strong conservative women.;1;0;1;0
22;I remember ERA advocates promising that physical standards would be set that would keep women out of combat.;0;0;0;0
23;I love CBS Sunday Moning. Me and my girl try to catch it every week. I have to disagree with Kate Blanchet, i think history is damn entertaining in its own right. You get caught up in the story and, look at that, u leaned something;0;0;0;0
24;3/4 of states have already ratified it.;0;0;0;0
25;Interesting to watch historical events of the country.Cate BlanchettðŸ‘ðŸ‘ðŸ‘;0;0;0;0
26;the last two episodes in particular were obvious overt propaganda;0;0;0;0
27;The only question I want to know is does Tracey Ullman any get any profits from The Simpsons;0;0;0;0
28;Now pay wages are low, thanks women;0;0;1;0
29;This was one of the first things I voted on as a teenager. Itâ€™s BS that this is not law already.;0;0;0;0
30;BYRNE is a bore, just like she was in Damages. Amazing that Gloria hasn't said as much.;0;0;1;0
31;No one has ever been more oppressed than the modern white suburban female.;0;1;0;0
