"id;text;Support_Women;Defense_Womenl;Offense_Women;Defense_Against_Women"
"1;I got soo mad at the guy until my slow brain realized it was an experiment;0;0.5;0;0"
"2;The slap she gave him was Real AF lol but yea she handled it the way most New York women would she must be from BK lol;1;0;0;0"
"3;""Even if the situation was real, she handled it well. Why would anyone else need to interfere?"";1;0;0;0.5"
"4;""No one needed to step in because the lady handled it perfectly. Slap his shit, tell him and leave. She owned him and he was stunned."";1;0;0;0"
"5;""There was this one time I was sitting next to this man under the influence, and this women next to me (complete stranger ) started talking to me asking if I was okay, and then the man grabbed my leg and the guy next to him pulled his hand off, then the women next to me insisted I could move closer to her, then the man grabbed my hair and the guy next to him and the woman next to me sprang into action and grabbed his hand and shouted at him. The woman sat next to me all the while and made sure I was feeling alright. This whole time my family members stood just a few feet away not paying attention at all. I’ll never forget those people and the help they gave me even though they didn’t have to. I don’t remember names, or faces, but I’ll never forget those acts of kindness.;1;1;0;0"
"6;I heard him say “why you wearing that” not matter what their wearing it dosent give you the god damn right to do that;0;1;0;0"
"7;""It's New York, of course they're not gonna react to that!"";0;0;0;0.5"
"8;What if the situation was reversed and we had a dude with his sausage hanging out in the wild? I bet he would have gotten arrested for showing too much.;0;0;0.5;1"
"9;She handled it. Why should I step in?;1;0;0;0"
"10;""Honestly it looked like she had it under control, I think someone would have stepped up if he did anything else after that. It's so absurd that people kinda need some time to process what the hell he just did. Look at the dude next to him, he was not happy."";0;0;0;0"
"11;Those slaps were a commitment to acting;0;0;0;0"
"12;I did a 4 month internship at NYC. Almost daily you see so many crazy things & sometimes you just couldn't   care less. All you want to do is get home safely lol;0;0;0;0"
"13;""Nobody needs to step in if she already checked you. A better way to do this experiment would be to not have the woman hit him back, but to have her clearly be distressed but do nothing. Then people would probably say something, but if she teaches him a lesson herself, others won’t feel it’s necessary for them to"";1;0;0;0"
"14;0:05 seeeet . 😂😂;0;0;0;0"
"15;I was so mad at this guy then I realized  that this is a social experiment😆;0;1;0;0"
"16;When he slapped her in the () I was like: omg this b DID HE JUST- WHYY;0;1;0;0"
"17;I was about to rage when the man said it was an social experiment;0;1;0;0"
"18;0:14 plsss lol;0;0;0;0"
"19;I thought the experiment was just the lady walking in the subway seeing if someone would do something;0;0;0;0"
"20;a new york version of what would you do ?;0;0;0;0"
"21;I love how this dude is enduring all the pain to do these skits.;0;0;0;0"
"22;""Shit, if that's all New York women then I love it 💕"";1;0;0;0"
"23;""In a way, its kind of a blessing really. If everybody did something, homeboy would have got jumped"";0;0;0;0.5"
"24;Why would anyone step in. She handled herself. What is there to step in on?;0.5;0;0;0"
"25;IA27:A121 would have probably fallen for this trick lmao;0;0;0;0"
"26;When I had lost weight and had a nice body I was walking to the corner store wearing leggings and a hoodie and some guy grabbed my ass I was shook and angry;0;0;0;0"
"27;how they gonna do something when the girl defended herself;0;0;0;0"
"28;The big buff dude slung the guy like a rag doll!😂;0;0;0;0"
"29;Hahahahahahaha 0:04;0;0;0;0"
"30;كفؤؤؤ😂😂;0;0;0;0"
"31;i wonder how that guy survives all that shit like that slap tho;0;0;0;0"
"32;The slap was real�;0;0;0;0"
"33;he's going to pay out the ass for this one.;0;0;0;0"
"34;The only experiment here is how many clicks can they get. B.S. fake outrage videos.;0;0;0;0"
"35;So if someone also joined the girl and slapped him and hurt him then will the guy sue him for hitting or will he think him for helping the girl?;0;0;0;0"
"36;This is why I love living in nyc you don’t get any consequences there;0;0;0;0"
"37;�� 32 years ago,That slap looks too real 😑;0;0;0;0"
"38;That's Danny from 'Hustle in Brooklyn' she's a model and comedian.;0;0;0;0"
"39;She threw that left straight out of Ali vs Frazier. No need to step in.;1;0;0;0"
"40;Cheh;0;0;0;0"
"41;Well if it was real she basically asked for it wearing that 😂😂;0;0;1;1"
"42;damn it was a good slap tho;0;0;0.5;0"
"43;""""""why you wearing that"""" That pissed me off"";0;0;1;0"
"44;Good job for the woman for defending herself but just imagine if the roles were reversed. The woman wouldn't even get into trouble.;1;0;1;1"
"45;Person  In danger Other people: Pull out their phone camera;0;0;0;0"
"46;Funny 😄;0;0;0;0"
"47;After the fight... Butt-slapper guy: why did i just slap that for?;0;0;0;0"
"48;i love this youtuber.;0;0;0;0"
"49;Shitttt;0;0;0;0"
"50;where do these people get the cOnFiDenCe and bRaVeRy to play such stunts in front of so many peoplee?? 😐;0;0;0;0"
"51;🤣🤣🤣I thought that was you sitting there. I wasn't really sure but I said to myself. Thats the YouTube guy who had that fake baby in the stroller who keep hitting it. But when she slapped you hard I was like....oh hell no this is real. Lol. Nobody didn't need to stand up for her. The way she Slappped you're ass she had all the control. Lol;1;0;0;0"
"52;I thought this was a planned prank on both ends;0;0;0;0"
"53""I saw this on his TikTok channel, hes a funny guy tho"";0;0;0;0"
"54;YAASSS #womanrights;1;1;0;0"
"55;i respect that women for slapping that guy real hard if that was not planned;1;1;0;0"
"56;""I wasn’t mad, she whooped his ass...even if it was fake. Women have to defend themselves, just like men.  Also, why this dude shoes on the damn sofa...also also, she was fine 🤩"";1;1;0;0"
"57;who the hell would were that on the subway;0;0;0;0"
"58;Instant regret in hes own black friend;0;0;0;0"
"59;Hes right about us new Yorkers dont care 🤣🤣🤣🤣 but she did what any  ny woman wouldve did if she was ever violated slap the shit out of him;1;0.5;0;0"
"60;LOVE HOW YOU EDITED GIA RACIST N WORD OUTTA THE AYB TITLE;0;0;0;0"
"61;This makes some people overreact and make a big deal out of nothing 🙄;0;0;0;0"
"62;��why you wearin-“🔫🗿;0;0;0;0"
"63;""Youtube """"comedians """" craving for relevancy. The only reason to interfere is to ask her where she found that costume."";0;0;1;0"
"64;I feel sorry for this guy;0;0;0;1"
"65;Most us New Yorkers picked up it was fake.We keep our hands to ourselves.Especially when a man is trying to talk to a woman.But her reaction was a realistic New Yorker reaction though.;0;0;0;0"
"66;Why didnt she take the chancla and use it cause I would have used it;0;1;0;0"
"67;I can’t remember the reality show she was on;0;0;0;0"
"68;If the roles were switched nobody would cae;0;0;0;1"
"69;New Yorker cold they don’t have emotion;0;0;0;0"
"70;Yo you can tell she a New Yorker if she be slapping that dude up;0;0;0;0"
"71;""something happened on the subway in newyork and no one cared,  yeah thats not newsworthy"";0;0;0;0"
"72;Dang I really wanted that to be real so glad it’s fake tho I don’t think any man would have the balls to do that;0;0.5;0;0"
"73;LIKE REALLY THAT'S YOU HAVE TOO DO. SMDH;1;0;0;0"
"74;What about indecent exposure? She is the female version of : https://www.youtube.com/watch?v=BV1ZsziAzHQ;0;0;1;1"
"75;Wait didn’t he get thrown in a dryer;0;0;0;0"
"76;Fahqin sickle cells;0;0;0;0"
"77;This is literally fake 😭;0;0;0;0"
"78;Bro that’s not funny why do men do that?! Slapping girls bUtts is not okay! It’s nasty;0;1;0;0"
"79;people turning more and more into robots;0;0;0;0"
