id,text,Support_Women,Defense_Women,Offense_Women,Defense_Against_Women,,,,,,,,,,,,,,,,,,,,,,
1,pov: you're here for your english argumentative essay,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,every human being must be treated equally.  gender inequality is real.  imagine the possibilities if all genders were treated equally,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,The sad thing is my own mom... she differences between me and her 2 sons. Those little things she does... its not something that big but when they start to happen everyday... its what hurts the most. My eldest brother shouts at my mom and she just gets scared of him instead of scolding him. These things made me feel suicidal. I tried to commit suicide 2 times by eating alot of sleeping pills but... somehow I woke up the next morning. There is just so much I would like to share but... its ok :'( BTW... I am only 15 y/o rn so plz ignore my grammar,0,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,
4,Emily Doe IS  ICON. My class learnt about her and we are all only year 6 But this is great that we learn about this. It needs to be heard. 20 of the kids on my class are boys so this is wonderful. Spread woman rights.,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
5,This is the best comments section I have ever read a very entertaining 10 minutes,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
6,Equality should be in all levels Not only where it benefits female,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
7,its scary how the first thing men think of when it comes to equality is being able to hit women :),0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
8,‚ÄúUntil you've gone through that process,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
9,"found a lot of quotes that are goin on my ""quote board""",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10,I'm a 25 girl,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11,I am 74-years old  fully willing to face the consequences of that.  Many of my best friends are black gay and lesbian,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12,Equality is so important to all individuals to share their voice and talents to the world! Great message!,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
13,Can someone please tell me where to find the speech of malala?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
14,Damn this was so true..... Until women were able to sexually harass guys like it's nothing and guys get brutally punished for doing the same thing,0,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
15,When you hear about all the feelings it is no wonder that men have constructed the world as women stayed home.     Each has a place.  Each has strengths and weaknesses.    Together they can be strong.  Separated they will destroy society.   That is the path we are on now.,0,0,1,0.5,,,,,,,,,,,,,,,,,,,,,,
16,Do you know In Tamil Nadu,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
17,in my opinion so from the same people we have 2 kidneys  2 lungs we have the same rights,0,0.5,0.1,0, ,,,,,,,,,,,,,,,,,,,,,
18,It's sad how many comments are here belittling the suffering that women go through,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
19,No one should be treated differently no matter their gender,0.2,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,
20,The first speeches are just emotional without any facts.,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,
21,Lmao,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
22,Every person who speaks out against gender equality are the best,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
23,Everyone : Women's rights,0.5,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
24,Isn't it hypocritical for powerful women to lecture on these issues,0,0.1,0.3,0,,,,,,,,,,,,,,,,,,,,,,
25,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
26,Everyone should have the same rights,0.2,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,
27,So many of these women lost big time due to their ego and condescension.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
28,If you're getting any kinda information from Emily Doe you're out of your mind,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
29,Emily Doe,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
30,Peace Love and Democracy,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
31,You go girls!!! Woaahhhh,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
32,Celibacy is key here boys,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
33,Today's women are the confusion of the highest orda,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
34,love this,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
35,Emily Doe!!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
36,I speak a little English,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
37,Men and women are equal!,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
38,Oh,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
39,The grain of salt for taking this should be humongous: politicians and celebrities are well known to throw lot of BS.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
40,It's not 'equally' that I want. What I want is  not treating one group of people better than another in society+ jobs  or as pretty obedience props. I think there is just prejudice against all groups of people no matter who you are  so I tend to struggle with feminism,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,
41,We really need more female lumberjacks and brick layers.  Make it happen ladies!!,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
42,According to these prominent ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
43,And that was an 2 minute message from our representatives of HELL,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
44,Same right same fight,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
45,All women make way more money then me. So....now what?,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
46,Look I know you wanna promote women's rights. But you can't just delete a video and then try reuploading it when there's more dislikes and likes hoping it won't happen again.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
47,0:26 oh my god,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
48,I am not even sure if this is sarcasm or not.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
49,I'm still waiting for women to built a city and their own economy but I'm 44yo Im guessing I won't see it,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
50,1:45 technically if we (man) don't have a say in it then thats not true equality it's very close but not all the way there,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
51,My point of view on this and story: https://www.youtube.com/watch?v=E0HRvkRTePs,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
52,Bro there‚Äôs been literally no facts or anything lmfao. Just literally them saying make women equal. Bruh you're at least equal in fact because of all of this kind of idea men are treated Inequally because people are scared to not please women if you get what I mean.,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
53,This Video is Eyeopening. I am presenting a video On Women Empowerment in Youtube. Could I use some of clip from your Video. Kindly Advise.,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
54,0:08 That has got to be a little exaggeration... at least in most peoples cases.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,oh yeah michel obama who called a women with kids in an icecream parlor a racist because she didn't want to let michel cut the line with her kids imagne that  not letting michel obama cut the line where so many people are waiting for their turn no really imagine that how inconcidered .,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
56,Lmfao ‚women have no rights‚ try saying that with a straight face in family court.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
57,pov your here because you have to write a speech and you chose woman rights without knowing how hard it would be to write,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
58,Stfu ,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
59,I don't understand how women in the US  or like where women aren't allowed to drive etc......yes support  feminist trying to help those woman.   But in the West?   Women have the same opportunities as men.   Women are offended favored in some areas.   Do what you want.....as long as standards are not lowered based on your gender.....go for it and stop constantly complaining,0,0.5,1,1, ,, ,,,,,,,,,,,,,,,,,,,
60,First...the indias...has to learn to speak in english,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
61,Men and women are not equal,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
62,That's a dude,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
63,Lmao I'm fine with woman getting all the rights but these comment people be hating on men for absolutely no reason,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
64,Love Women's Rights,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
65,WHY ARE WE TREATED LIKE PETS,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
66,Dr Shaym. Go watch him. Hopefully I spelled it right xd.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
67,Oh brother... Here we go again. All you need to do is look at the cartoon characters delivering the sermon. Enough said. mic drop,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
68,When will gender equality will be achieved? When will women get equal rights? When will they get equal freedom?,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
69,Madness,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
70,Shut up,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
