id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
1;Im here for this new Tamera. More assertive and owning her voice;1;0;0;0
2;Let's not confuse hating and constructive criticism tho, 2 very different things.;0;0;0;0
3;Practice what you preach�;0;0;0;0
4;"Matthew 22: 37-39 ""Jesus replied: ""'Love the Lord your God with all your heart and with all your soul and with all your mind.' This is the first and greatest commandment. And the second is like it: 'Love your neighbor as yourself.'""";0;0;0;0
5;I honestly believe this show has had so many ups and downs in regards to fans... they got hate when Tamar got fired... they got hate when there were only four hosts... they’re now in the stage of getting hate even though there are now five shots again... at this point they can’t please anybody and are ok with that... not everything or everybody is for everybody and that’s ok... but the nastiness that comes with that is unnecessary and I think that’s what we’re really expressing... there’s no need to put down someone because of a decision you don’t agree with ;0;1;0;0
6;Esq.,Woman can be the absolute worst to other women. It’s really sad and pathetic. We need some healing frfr.;0;1;0;0
7;Does The Real Youtube staff ever have any days off? Posting on a Sunday but I am 100 percent here for it! 😂;0;0;0;0
8;I am loving Tamera's hair this season and how she is fully embracing that gorgeous natural hair. Go Tam Tam!!!;1;0;0;0
9;A tv one award show. This is the kind of topic that would never be discussed if Amanda wasn't there. Good or bad, but Amanda is leaving her mark.;0.5;0;0;0
10;We women need to support each other, lift each other up,not tear each other down.  I want all women to be successful in life no matter your race is.;1;1;0;0
11;I cant take Loni serious with this topic. She is known for being incredibly harsh to women;0;0.5;0.5;0
12;Last comment from Adrienne was on point!!;0;0;0;0
13;Seeing Missy, Kim and Brat is making me feel some type of nostalgic. Queen tingz.;0;0;0;0
14;Sometimes it’s constructive criticism that people can’t handle but other times its outright rude which I don’t support;0;0;0;0
15;Women need to heal themselves and feel whole before they can uplift another woman. The most encouraging women are happy ones.;1;0.5;0.5;0
16;This show is constantly attacking other woman though. Like I'm a guy who enjoys listening to viewpoints and I enjoy(ed) this show for bringing mindsets that I'm not super familiar with. But they consistently go out of their way to put down any woman they disagree with. Not to harp on the lizzo situation, but that was a perfect example of them having no issue talking down to and even accusing someone of something simply because it disagreed with their own opinion. Amanda especially is very narcissistic at times and neither her or loni can take criticism well.;0;1;1;0
17;Women can support women and check them too. If a woman stands for something you don't, you don't have to nor shouldn't support her.;1;1;0;0
18;Yes Tam Tam! You have to also guard your heart and not focus on the negative comments. Amanda, you can't control people who are hurting or just plain awful which shows in their comments but you can control yourself so stop reading the comments if they bother you that much. The truth is that all other talk shows experience the same and sometimes worse experience with commenters. For example, I just happened to check out Wendy Williams comments and I must say there were more bad than good yet she keeps going. This is The Real and I must keep it real, you'll have got to develop thicker skins, guard your hearts and eyes and keep it pushing. Consider, the fans that love you and do it for them and yourselves. Y'all receive more good comments than bad so focus on that and spend less time going back and forth with people y'all don't even know. FYI, you would be shocked to know that some negative comments are from men but they use different pictures😲😲. I know that for a fact. Just saying. Let's all just keep saying and doing all the good we can to all the people we can and let God or karma, whatever you believe in, take care of the rest.;1;1;0;0
19;,Amanda knows the heat she was getting started way before The Real;0;0;0;0
20;Bringing in Jillian's daughter into Lizo's conversation about obesity wasn't exactly coming from the place of 'love'. Literally everyone agrees unanimously on the Twitter comment that touched the same topic, in both Twitter and YouTube comments. But the fact that Amanda was rudely playing a piano while it was being read was found very rude by everyone. There are actions and there are implications. And you cannot deflect the topic by focusing on the obvious wrong. Of course the nastiness is uncalled for, but you all know you are deflecting the real comments by choosing only the easiest victimising comments.;0;0;1;0
